tips,ll
Love this place. Drop in for cheap bfast on way to work. Great service,"51.5143961635,-0.136800460847"
Been here twice now and love it. Food is amazing and well priced.,"51.463861906,-0.132784313656"
The omelettes in the morning are pretty good.,"51.5056461493,-0.0232658954571"
Amazing views from the cafeteria & great food choices!,"51.503139793,-0.0238543665628"
Great food.,"51.532721668,-0.100559856847"
Great Place To Eat and feel a bit Caribbean even if it's cold and grey outside. Great dining experience and a possiblity to meet lovely people from all over the world!!,"51.5309066184,-0.0744152069092"
A chicken bokit,"51.481266,-0.111745"
"Great food, fun drinks, charming server. Try the brownie for dessert. Good stuff!","51.51525,-0.192949"
Surprisingly great and unique food. Try the chicken coco bread. Or the great smoothies.,"51.5434367617,-0.00858185971508"
"Lamb roti delicious, friendly staff and tasty food.","51.5426930947,-0.00707930635282"
"Food is OK and get ready for a ""very relaxed"" (slow) service. Caribbean atmosphere is a bit artificial but otherwise easy going.","51.507637492,0.0204494373474"
Would be a great restaurant if the staff weren't so miserable half of the time... But i suppose miserable staff is part of the Jamaican restaurant experience.,"51.475073821,-0.0397747712287"
Friendly place to eat easygoing!,"51.549712,-0.035948"
"Wonderful little café. It's refreshing to have different brunch options in the area, such as beef blinis or the aubergine hot pot!","51.5332075453,-0.0650890020071"
SLOW service and barely an apology. Shame as it was excellent food.,"51.5343428557,-0.111332339855"
"Уютное и тихое место, а главное вкусно! Единственный минус - плохой район. Обязательно попробуйте шашлык и закажите хачапури и попросите принести вам тархун. Наслаждайтесь воспоминаниями о родине.","51.5395405683,-0.11684362259"
Great cappuccino & an even better cup and saucer ;),"51.4522423472,-0.147676732859"
The best Georgian food in London!!!! Amazing owner of restaurant and everything what you will try will be devine!!! Badrijani is a must!!!,"51.5371892094,-0.185442906549"
Great food & friendly staff! Nice decor. Try to book a table on the 2nd floor - for even nicer design surrounding. Chakapuli with seafood: definitely worth to try! Great choice of wine list as well.,"51.5073565226,-0.145657334247"
"If you need a Khinkali fix, these people have you sorted. Order the pork mix ones, the lamb taste like a kebab in a skin.","51.4998986749,-0.196111836617"
Great strong tasty coffee and casual atmosphere. One of the few good cafés in Woolwich. Cakes looked delicious and brunch menu looks worth coming back for.,"51.4925569902,0.0705840390558"
Best coffee for miles!,"51.4817122772,0.0837065845403"
"Mocha cortado to die for,yummy yum yum","51.5166610979,0.0820395234519"
The people who work there are really great and very friendly.,"51.52246,0.0708995"
Any takeaway coffee you like is only a quid! and Bacon roll is same!,"51.4803699949,0.180212310678"
I luv starbucks can't get enough :-),"51.491231,0.067356"
"Right next to the airport, so it's handy in case of a delayed flight or if you just arrived and you need a cup of coffee!","51.5032406964,0.0494362840844"
Gorgeous place! Just what we needed in Woolwich! Coffee is better and much cheaper than Starbucks! Pastries are great too. A winner!,"51.4901048342,0.0679175634097"
The worst coffee in town!!,"51.5345166013,0.0533653034206"
Be nice to the staff here. Or you'll have me to deal with.,"51.5359552619,0.0711000919429"
Excellent breakfasts and great service,"51.4910294636,0.0647639771489"
I've tried this Costa 5 times at least and not had a good cup of coffee yet,"51.5074256999,0.0627919253031"
Most  enjoyable.,"51.456294,0.145901"
Good coffee and pie.,"51.5041865727,0.0497107217423"
Capaccinos,"51.4730229729,0.140552"
Kids meals include a drink and fruit,"51.5210323784,0.0684536315971"
A nice and honest little neighbourhood cafe with good grub.,"51.5468694631,0.114969745265"
"Don't order anything with the baked beans, they're vile. Cheap and nasty. Won't be back.","51.4936474054,0.0634337880491"
"great cafe, great food, you need to go there :)","51.4648023865,0.13290760957"
Flat White,"51.4560981981,0.145819872171"
Great service and people,"51.5396785549,0.0810670716352"
Pretty small but handy to have right by the station,"51.490375874,0.0692975775508"
St Bart’s Café } Community Ethos!,"51.5327821305,0.0525611682071"
greaaaaattt wake up call!,"51.5034601475,0.0498418988406"
Good portobello egg breakfast muffin,"51.503395413,0.0498357320147"
Chicken and mushroom pie is great!,"51.5439489015,0.0262237751667"
Try the hot spiced plum cider in winter. Best drink to get warm.,"51.434538,0.064035"
"Pretty tasty food - weekend brunch was full of good flavours, especially the jalapeno cornbread and avocado toast + fried egg. Hot drinks were disappointing, way overcooked.","51.5220969887,-0.0454044342041"
"Authentic crepes with some interesting flavours inc raclette, scallops and duck. Not heavy so you'll be tempted to try another for dessert","51.5528277246,-0.0529235964843"
Chicken crepe & nutella crepe 😍😍😍😍,"51.5439454948,-0.00644398934049"
"Always full be early, nice staff, and picante is the best ;)","51.4624098475,-0.111712130371"
"Authentic crêpe and galette from Brittany,  try these classics galette: complete,  goat cheese-honey,  and for the classic crepes : salted caramel,  butter-sugar.","51.512568648,-0.120124913077"
Crepes!!! Late breakfast and strawberry crepes:) absolutely fantastic!,"51.5172240312,-0.0628883469853"
Go on a Monday for £5 pancakes all day,"51.517421715,-0.122061895304"
"Being Italian I'm usually really picky about food, but this place is great:one of the kindest service in London, delicious food and cosy interiors!8.5 should be the minimum rate!Definitely recommend!","51.5044371733,-0.0954459069386"
Most delicious waffle 👌 the smell can take u to another world 😍❤,"51.5145997473,-0.148737073492"
"Spacious restaurant for both coffee and food, super nice staff and yummy crepes. Finally a real French crêperie bretonne in london !","51.460763,-0.135623"
Not bad and light,"51.4866396161,-0.171038057291"
"Very tasty crepes and good portions! However, all cutlery sets we used were very dirty, as if they were not washed at all!","51.5355458807,-0.103227913563"
"Whilst there always seems to be a queue, it's for good reason. This unsuspecting crepe shack has been a delicious pit-stop for over a decade.","51.5559092191,-0.177050951202"
😋😍😍😍 yummy Nutella Crepe and vanilla ice cream,"51.494879361,-0.173419476872"
Highly recommended 😍👍,"51.5024968065,-0.191158383757"
"Ordered waffle & Oreo. The ice-cream portion was tiny but waffle otherwise nice. The toilet was out of order& the area really needed a clean. Also, the decor is so dark. Needs an update/clean.","51.5759947344,0.0661134841545"
Classic crêpes are made to order with traditional cheeses and fresh produce.,"51.49327,-0.225631"
Best ice-cream in SW!,"51.47963,-0.195777"
"Excellent coffee shop near Bayswater station with expert baristas. Try their delicious crepes, especially their healthy gluten free and buckwheat versions. Their freshly squeezed juices are fantastic!","51.5149771407,-0.188304421182"
Homemade ice cream!very good!!! ♡,"51.572648,-0.198608366667"
No toilet. So you can't take a proper crepe after eating a crepe.,"51.4204320334,-0.204891505655"
"Lovely new place. Great crepes, waffles and ice cream, plus great friendly service. And a very refreshing iced cappuccino... I hear coffee is pretty special too.","51.5084520143,-0.268542721917"
"Great Mini Pancakes, try them with strawberries and white chocolate.","51.5074564978,-0.223245660344"
Lagoaty is delicious!!! Amazing crêpe 💗,"51.463613,-0.112441"
Try the waffles 👌,"51.5309965524,-0.121013431977"
Lovely sweet or savory pancakes :) and mayor eats free :),"51.5076163764,-0.221464107989"
"Great freshly made sweet and savoury crepes, choose from the menu boards or create your own.","51.3749817315,-0.0935769081116"
They have both savoury and sweet crepes. I tried goat deluxe last time and it was delicious. It is good value too,"51.4925929599,-0.264458375946"
Ice cream and Milkshakes,"51.48594,-0.20265397"
Con 5 Pound mangi una mega crepe come vuoi tu,"51.5167605321,-0.204650179993"
Don't go  bad service,"51.3895615643,0.503370228359"
The Big Breakfast pancakes are great for any time of the day,"51.35779,-0.215683"
"No table service, not a problem but it this isn't obvious. They didn't have some of the ingredients for our first choice, then they forgot about our milkshakes. Staff weren't very attentive.","51.512889011,-0.306555130219"
All gluten free!,"51.462514,-0.112165"
"You can't go wrong with a chicken, mozzarella and pesto pannini!","51.4852645711,0.00498651327502"
The pork belly is the best! Don't forget to ask for a sliced gherkin and applesauce,"51.5043861221,-0.0195390819635"
"What an awesome place!!!! Fantastic selection of salads, sandwiches and breads. Staff really friendly, great little garden.","51.479426799,-0.026112476614"
The Worlds greatest bacon sandwich!  Trust me.....,"51.4664880639,0.00822856502146"
The deli is fantastic but their little café even better. Have a toastie and thank me later.,"51.5382556641,-0.0452138596993"
"Great lattes & service. Eggs Royale are delicious, also try their French Toast!","51.5060536369,-0.025212854359"
"With a Turkish influence, this new cafe is a fine addition to New Cross. They serve cakes, salads and Climpson & Sons coffee. The macaroni and cheese is delicious!","51.4753122138,-0.0356117943032"
"Filling the Æsop hand cream bottle with cheap supermarket stuff is kinda crappy, but the food is great","51.5512132773,-0.0433950997634"
Chopped liver & pickled cucumber bagel. Delicious.,"51.577608404,0.0649830887649"
Lovely coffee on the sunny side of the road. Best Belgian Earl Grey chocolate in stock!,"51.5533305066,-0.0446996102251"
Avoid the queue for salads between 12-2 if you can. The queue for soups is not too bad. I would recommend salad and couscous with your favourite meat / additionals,"51.5050614843,-0.0210128260919"
"More like ""OK Croissant""","51.5769536517,0.027297224852"
Fresh lovely Lebanese food and friendly service. Try the chicken skewers!,"51.5440760309,-0.00871979911731"
Small garden out back but coffee nicer and also small garden at Mora round the corner,"51.4768331344,0.0211190383806"
"The""Spanish hot chocolate"" is mega thick. Delicious on a cold morning.","51.4816625039,-0.00913972676909"
Amazing tuna melt. Soups are pretty damn fine as well!,"51.5048714797,-0.0182075774356"
Nice simple breakfast and it's only £3.95!!,"51.4532832453,-4.24670508892e-05"
"""could very well be in Italy–organised clutter from a vast range of dried pastas to boxes of biscotti & jars of sundried tomatoes & marinated artichokes…Antonio & Elena are both charmingly helpful…""","51.4617482387,-0.0101911222944"
"The worst meal I had in a long time! Very low quality food and not even cooked very well, there was just NOTHING I liked! So disappointing!","51.4669392208,0.00863478248284"
"Croissant was dry (old), latte took ages and wasn't that great.","51.5440606375,-0.00877822850749"
"My favourite dessert shop in London! Reminds me of my holiday in Japan! ❤️ An absolute must try! All variety yummy! White peach, chestnut and green tea flavoured ones 👍! First green tea is free!","51.5087571502,-0.137954433346"
A great place to pick up a quick bite to eat and a coffee before rushing to work. Great service and value for money.,"51.4858734582,-0.122366209126"
nice dessert shop! worth the money,"51.4924081753,-0.177588888254"
"Loved the desserts in this place, the sundaes and ice creams in this place was really tasty. The service in this shop is great, and the staff were friendly as well. Would give it a rating of 9/10.","51.5171955546,-0.0631498964117"
Cannot deny how delicious the cakes and desserts are here! The Portobello Road shop is always busy and very well loved.,"51.5141784512,-0.203787127648"
"For me, it's a coffee shop within a vintage store. Almost hidden in plain sight. Great coffee, lovely desserts, friendly staff, and rustic vintage decor. Unique. Many reasons to be here!","51.5532199682,-0.0748368171493"
"Stunning riverside coffee shop, you could basically sit anywhere you want. Coffee and dessert are great. I enjoyed a breezy summer here.","51.537101814,-0.0811642099169"
"It's all chicken at the chicken shop and it's amazing. Rotisserie style. You've got the choice of chicken and sides - fries, salad, Cole slaw, corn. Dessert - it's all about the Apple pie.","51.5174145482,-0.12229128685"
Good desserts and nice shop inside,"51.5245388699,-0.0765029493348"
Good looking place with delicious cakes including surprisingly good gluten free selection. Friendly staff. Highly recommended.,"51.4925223462,-0.258549419627"
"A lovely little Ice Cream shop that's in the Chelsea Farmers Market. Quirky with friendly staff, the offer a nice selection of ice cream desserts, and one of my favourites, Affogato!","51.4881607406,-0.169388340402"
The coffee was great but very small coffee shop and limited options of desserts.,"51.5167853189,-0.137079899593"
Very good service. The waitress is really nice. Quick service. Big plates of food and really cheap! More than yu can imagine. I will repeat for sure. 👌,"51.5421347161,0.00254266259106"
"Skip the coffee. Roasted ages ago, wrongly dosed, overextracted, bitter.","51.4643349458,-0.169677385353"
"Arguably Fitzrovia's busiest and best Coffee Shop. The cappuccinos and lattes come highly milk-decorated and recommended, but desserts like whoopie pies and Aussie-style Portuguese tarts are quality.","51.518457,-0.140612"
The sundaes are good. Some of the ice creams are amazing too . But a few are not exactly as the name suggests . E.g. Ferrero rocher,"51.556892,-0.282115"
The milkshakes are fab' 👌,"51.5269979848,0.0799821542538"
"Great food and selection of beers. I strongly recommend the cocktails, too. Cozy atmosphere.","51.5471311855,-0.00774813872977"
Has now closed down due to lack of custom.. understandable,"51.5005956461,-0.0209360728407"
Simply the best milkshakes around.,"51.4380169797,0.270801044226"
Best coffee in London,"51.5426850635,-0.00608277093534"
Surprisingly great and unique food. Try the chicken coco bread. Or the great smoothies.,"51.5434367617,-0.00858185971508"
Awsome Diner!,"51.4625716343,0.131984855116"
Ribs aren't very flavourful. Also they told us they don't take card (takeaway) but we spotted a diner using card when paying their bill? There are better Turkish restaurants in Romford.,"51.5624452321,0.147178173065"
Chicken quesadillas and falafel deluxe burgers are good. Brunch options are good if you like some Interesting variations on a cooked breakfast.,"51.46678458,0.00736141615495"
Amazing pancakes and coffee comes in bucket sized cups!,"51.507704,0.008655"
Big portions and very friendly staff,"51.485700617,0.00669178158416"
great food - & good value,"51.5767090707,0.0272445175627"
Good cheap food !,"51.4176593411,0.0681465696082"
"Once again another great diner out. Despite it being a busy Fri evening, staff made sure that my 8-month old daughter was comfortable seated. On top of that brilliant food as always.","51.5101199326,-0.039143770153"
Good quality food cooked on site.,"51.5235822189,-0.0382786225592"
Decent donuts,"51.5048183592,-0.0182822949612"
Try the limited caremelised biscoff donut! Taste sensation.,"51.5429099872,-0.00641904282356"
"Kleines Geschäft, die Donuts sind sehr besonders (vor allem der mit Matcha ist zu empfehlen). Der Kaffee schmeckt auch sehr gut.","51.5244804767,-0.0716278601783"
"Best Eccles cakes bar none , superb dougnuts and of course along with @HedoneLondon the best Sourdough Bread in the UK","51.4993256913,-0.0755235253472"
Go for the yum yum doughnuts!! :D,"51.5236859163,-0.0759014588432"
Amazing doughnuts!,"51.4886633486,0.283489441471"
"Very friendly service and really unique flavors, we got truffle chocolate and watermelon lime.","51.5224997208,-0.0856546509176"
"Once I've eaten one donut, I came back for more. The first donut I've tasted was the crème brulé which was definitely great.","51.5204535619,-0.109395288994"
"We arrived at 16:00, just 4 kind of doughnuts and poorly exposed. We couldn't eat because every option contains fructose :/ (Walked few Km for the doughnuts).","51.5140425663,-0.134604271377"
Donuts and sourdough,"51.5150563874,-0.12682927458"
This place is definitely trying too hard. £3.50 for 10slices of cucumber? Wtf! Couldn't finish the waffle and chicken burger. Looks like it's made by city-boys to cash in on the hipsters,"51.5281882408,-0.0779173220142"
"The one & only in London, as good as NYC & Rio ones,pleasant small outdoor tables, great freshly brewed coffee & delicious fresh,light Donuts for a really cheap price,great afternoon deal dont miss it","51.5224451941,-0.157634406896"
"Best sourdough doughnuts you'll ever eat! 😍🍩 Will definitely be back to try the other sweet and savoury treats, as well as their amazing bread.","51.4935617997,-0.158690214157"
Try the belgian chocolate doughnut 🍩,"51.54222,-0.14821115"
"Look out for the orange neon signs - when these are on you'll get a free, hot glazed donut with your purchase.","51.6520135766,-0.0593769930129"
They actually do a decent coffee here.,"51.5099954487,-0.134547304581"
Cinnamon and sugar is the best !❤,"51.5073535018,-0.222601890564"
Raspberry Jam rocks,"51.5373026642,-0.0604975707474"
Find their location on twitter - @you_doughnut,"51.5232230148,-0.0791545055556"
"Great concept but doyghbuts we're cold, making the taste a bit off as the butter congealed in your mouth. They were also sold out of most, so go early in the morning","51.4973733312,-0.143604930532"
Buy 12 and get the branded bag!,"51.49861,-0.163144"
"Not just great donuts on offer, they also serve gelato ice cream too. Closes once all donuts are sold, so timings can vary.","51.3749817315,-0.0935769081116"
"Awful donuts and top price, keep walking ....","51.5102642667,-0.135037018399"
"Had surprisingly good donuts, when we tried it on our last visit!","51.518318,-0.206796"
"More than just donuts, try a crostrami sandwich or bagel","51.7307928992,0.473652932496"
Better than Krispy Kremes xD,"51.5815489353,-0.337558633673"
The staff is always very kind! And the dunkin' saugage butty is delicious!,"51.4685363408,-0.364491760046"
You must leave room for the chocolate dumplings. The cocktails are good. Definitely get several platters to share. The pork belly is delicious too :),"51.5543464578,-0.0541564933462"
Chicken dumplings are the best - fried. Always check the specials - curry here is awesome.,"51.54856,-0.07690899"
Dumplings and noodles!,"51.5196884542,-0.0752026677927"
"Beef noodle soup tastes like soy souce, plain and keeps you thirsty for a while. Awfully tasteless seaweed salad. Very average dumplings. Recommend ban mian and teas.","51.4625234566,-0.112279127046"
All the dumplings are amazing.,"51.524025,-0.072919875"
Buns are good. Xiaolongbao missed the mark with no soup inside. Get a bun.,"51.5171864861,-0.0879671096175"
"The veggie dumplings are superb! Portions are of good size, even the ones to share, so consider going slow! Enjoy! :)","51.5116378302,-0.130052575472"
Brand new place with a nice variety of dumplings! My mum loved the halloumi ones..highly suggested on her behalf! Excellent staff as well as food! Place is a bit small though due to the great location,"51.512579,-0.139061"
Don't bother with anything but the pork,"51.5057544798,-0.0167934428334"
Terrible food. Hardly value for money. You can do a lot better in Chinatown than visiting this joint.,"51.5119938669,-0.129559177703"
Dim sum very good!!,"51.548064,-0.181524"
nice Pad thai,"51.5043555307,-0.0949544217616"
Fried dumplings are good. The boss lady might try to give you something that wasn't ordered *by mistake* and then add it to the bill.,"51.4620913394,-0.112889269126"
"""This neat, modern Polish cafe prides itself on its honest, home-cooked food. Prices are low, portions huge, tables busy...""","51.5453339035,0.00446102513608"
"Best seeded bread in London - light, super tasty, healthy and a good price. They'll slice it for you too","51.5441733397,-0.00861762051706"
"Very big Polish shop... Great choice, also have a meat counter & bakery / coffee counter at the back....","51.5612308155,0.069018649086"
Better than average cream teas. Very friendly people. Has outdoor seating,"51.4810673462,-0.00926542803532"
"Big menu, choice of everything from a fish & chip shop, to fried chicken & kebabs. Staff are friendly. I'd give the food 6/7 out of 10.","51.5769628562,0.0457048416138"
"Приятна БГ кухня и обстановка за тези, които им липсва родното, във всеки аспект.","51.5373943333,0.0126668714878"
Salt beef bagels,"51.5129499506,-0.015261033165"
"Dirty plates and dirty cutlery, eww. Cookie dough, caramel and chocolate fudge cake is DIVINE!! Mmm","51.5684293711,0.119455699971"
The best steak pie you will ever have! Pie & a pint £5.50.,"51.4592224714,0.126443318017"
"Great lattes & service. Eggs Royale are delicious, also try their French Toast!","51.5060536369,-0.025212854359"
Thi's place is very good and the food amazing!! Not expensive .,"51.5911708478,0.0472298629578"
"There's a beer garden out the front. But don't stop - there is a well stocked bar and dining area, overlooking the gardens beyond. A not so little piece of rural idyll right there on Wanstead High St.","51.5764828536,0.0275690223926"
Awesome Place great food,"51.497747,0.154267"
The hidden gem of Greenwich.,"51.4839819488,0.00129587056058"
"Glorious on a sunny day. Sitting outside in the shade of the trees, drinking beer and watching the goings on of the river. Felt a million miles away from London.","51.5053074326,-0.0279327899167"
The bar staff are slow.,"51.5755045183,0.180364679516"
Family atmosphere. Good service. Excellent deals. Very friendly staff. Outside area for al fresco dining or simply drinking in the sunshine,"51.3904084302,0.0539584338551"
Bar staff don't know the difference between Moët and Monet or Manet.,"51.5832201991,0.0207892390014"
Free unlimited salad with your meal!,"51.5039054671,0.0036435606126"
"The Pyramid used to be called the Tavern, and is on the Western end of the Excel on the 2nd floor (up the escalators from the boulevard).","51.5081514895,0.026288330555"
Lovely place! The food is awesome and the people are caring!! Love it!,"51.4377289987,0.240584496193"
Strange place. Very strange. Go to The Gun down the road instead - a much better choice for a quiet drink.,"51.5065049622,-0.0040969969974"
"Great greasy spoon cafe, friendly service","51.5434026849,0.0110293901485"
"Has had a bit of a revamp recently and looks better for it. But still suffers from the same old harvester problems e.g under staffed, cramped, terrible service and food that ultimately disappoints","51.5868225735,0.200434124629"
"First visit in a number of years & I must say its improved dramatically. Food was lovely, decor festive, not sure what it's like at busy times, but Tues lunchtime was quiet.","51.4585429138,0.08040420078"
Haven't been to a harvester in years and now I remember why.,"51.4469529718,0.200551514869"
"Salad, always the salad. The Crackerjack Prawns were good.","51.5774128548,0.0593635768567"
Never again,"51.4265794641,0.0961641036532"
Thought the service was excellent both in bar and restaurant. Try the English porter!,"51.4829049264,-0.00810464223826"
"Very decent Turkish and Middle-eastern food at this family run restaurant. They even used to do English food, but stopped recently. Great place in Greenwich for a quick bite.","51.4814126071,-0.0100447374219"
"Get chili sauce, it is fast service but make sure you have cash as they don't accept cards.","51.5039217292,-0.0198680878617"
Almost identical to the stall it replaced,"51.5034596363,-0.0208184484955"
Bacon cheese burger is all time favourite!,"51.5030317683,0.0050412928444"
"The 3,000th branch of the hamburger chain and the first in the UK opened in Woolwich in 1974. Woolwich was regarded as a typical suburban area, and if it succeeded here, it could succeed anywhere!","51.4914360667,0.066505886579"
"Feel free to ASK for extra bacon. McDonalds is a Business, not a Charity. You DON'T have a DIVINE RIGHT to have extra items. It's a PRIVILEGE.","51.529465816,0.155375441252"
Best hot chocolate! Avoid the coffees at all times!,"51.5219602831,0.072006926777"
Phone ahead for fresh cook orders and to save time on queuing.,"51.4767220398,0.0216845858124"
Diner is exceptionally clean. In fact Big Moe’s is the cleanest fast food restaurant I have ever seen during my visit at UK.,"51.5269979848,0.0799821542538"
Bargen buckit four 4,"51.478696869,0.181698294571"
"Get the bacon cheeseburger with jalapeno peppers. Beware, the portion of fries are massive. Small fries is enough to share among 2-3!","51.4374810294,0.270662599332"
Staff take turns to share the one brain cell between them all.,"51.532643942,0.137641319476"
"Looks like it'd be quite a pleasant building, if a McDonald's wasn't here.","51.4526334035,0.0351196987515"
Smells like sewers outside! Ew!,"51.516053419,0.0774908895066"
Usual stuff. Drive in,"51.5181180497,0.0137401096661"
It was pukka milkshake was great as well nice and cold,"51.4562685805,0.147485521368"
Best. We spend nice time. Good service!!!,"51.565185625,0.10380851038"
"Satay chicken rice box, usual grilled chicken and rice but the satay sauce makes it.","51.5029811149,-0.0184003685397"
Double sausage and egg McMuffin meal with black coffee!,"51.4605283522,-0.0109892084369"
"1. You must be a paying customer to use the toilets 2. Don't argue wid the manager, Paul, as he's my friend. You've been WARNED! Lol","51.5597121072,0.0768550132186"
"Whenever you drive through and they tell you your order aint ready, so you can park and wait... Just know it's gon be a loooooong maaaaaaad wait!!","51.4909674282,0.0853754469487"
Rubbish service! #sadface,"51.4509045711,0.0523334252972"
What Sam Woods said,"51.4503565835,0.181525347312"
Male toilet unbelievably disgusting. AVOID!!!,"51.5216953102,0.0721759128233"
Don't use the drive thru they always get it wrong :/,"51.48968241,0.0211926618902"
Standard McD's except for the long lines which the staff do a great job of minimising.,"51.5754362178,0.183389558646"
Cloud WiFi and drive through,"51.48421345,0.276007323748"
Pretty good cappucino for £1.69,"51.4783935339,0.18048530299"
Don't eat this. That's a tip.,"51.5464498076,0.0279719545412"
Don't forget to show your student card for a free burger or McFlury!!,"51.4816663883,-0.0108045114885"
Much better than the one in Westfield,"51.5409806985,0.00127532546799"
variety meal 3 pcs + 2 hot wings + breast fillet + fries + drink for £5.99,"51.4855256423,-0.0345181733863"
Eat as many hot wings as physically possible. And then have ten more.,"51.4852642034,0.00514731239505"
"It has a coca-cola freestyle machine, you can pick your own coke flavour(s)","51.5763296639,0.063324207921"
Located in a really rancid part of Becontree Heath. Use Drive-through and exit ASAP!!,"51.5654063164,0.145384474354"
The car park is a nightmare enter with caution,"51.589513034,0.142381154009"
Excellent Haddock & Chips!,"51.4506074183,0.053187359802"
"Food for drunk people, or those who don't care about their health.","51.4861824395,0.0125978081309"
Slowest McDonald's I've ever been to!,"51.5701409965,0.0135724820101"
Oh no they don't let you walk through the drive through! Tried many a time with many a people and its a council restriction apparently...,"51.5296095137,-0.0151768143876"
little but suitable for a quick lunch.On route home along the cycle highway.,"51.5249060028,-0.0356090068817"
Once again. Nothing at all cooked and ready. 10 minute wait.,"51.4445867434,0.216217946365"
Good for breakfast on way to fishing early morning,"51.4097797793,0.144305794053"
"The staff are very slow. You would think with the self ordering system, they would be faster. Sunday's are the worst. If it wasn't for my son being hungry after swimming and a McD fan, I would avoid.","51.5886387942,0.0808584091657"
Do we know if they have been checked for horse meat yet?,"51.5893172825,0.219938922848"
PLEASE LEAVE THE PREMISES QUIETLY,"51.5118809184,-0.0279354861092"
This location has a drive-in but traffic can be chaos as there's only one way in and out.,"51.4864114202,0.274014365841"
Disgustting,"51.5930834933,0.214009974559"
Service was quick and just down the road from bluewater if it's too busy there,"51.4485947432,0.27963267329"
Good fast Japanese food. Can get busy weekday lunchtimes. When the restaurant is quiet the staff have an annoying habit of seating you by the windows so it gives the impression the restaurant is busy.,"51.5032363821,-0.0184893121322"
No one knows how to queue!!,"51.5439126424,-0.00650734539871"
Class when your mega hungry,"51.4023077361,0.11266381153"
The epitome of cheap and cheerful - in the best kind of way. You can get a generous plate of piping hot delicious food for under £5. Service is fast and furious. Has a sister restaurant in Woolwich.,"51.4814443916,-0.0100853525116"
"Never had a good experience with this one, drive thru is slow compared to the one on Old Kent Road.","51.4898575367,-0.0423783148564"
"avoid this place, pizza hut wants our money in return they give bad service(no service), crap food, stinky and dirty hut`s(they are not restaurants nor a fast food)","51.556358351,-0.007660474323"
"Pea, mint and cheese fritters really good. Enjoyed it all.","51.5482179126,-0.00934010224485"
Best fish and chips for miles,"51.4759915621,-0.0185948166862"
Best fish and chips I've had. And try the calamari too! Where else could you get Calamari to takeaway.,"51.5371302314,-0.0445746320132"
"Very nice chips but small portions, probably a match day thing though...come on you irons ⚒","51.530834,0.040715"
Yummy... best chippy ever...,"51.451043,0.012599"
"Sausage,Saveloy, Fishcake  With Chips £2.50 SPECIAL OFFERS","51.4623289191,0.109180516512"
Now open on Sundays!,"51.5199011063,0.201247531496"
Lovely fish and chips.,"51.4616969905,-0.0102767798954"
happy easter!!!!fish day to day,"51.4639465936,0.182076793399"
"Piece of fish is so tasty "") they never fail :)","51.5626920104,0.121471881866"
Great fish!!! The chips were a bit soft though :/,"51.4922547922,-0.0455729561477"
Best chips in se7,"51.4747317419,0.0347318290362"
"Slow service and always ""just waiting for chips"".  At least they're fresh.","51.5137904268,0.0313282012939"
Excellent Haddock & Chips!,"51.4506074183,0.053187359802"
Great food and service,"51.546507524,0.0252736425843"
Under new management... Yet to try it - any difference?,"51.5283630421,0.00552154055049"
"pukka pies, Fresh fried fish, Proper chips and friendly efficient service. Right by the station, so take its easy to take your hot food the rest of the way home.","51.5277770806,0.00506288339325"
Delish fish! Lovely friendly chaps and lots of space to eat in.,"51.4394834871,0.0507688522339"
"battered sausage, straight up","51.465663,0.00907"
"Big portions, fair prices! Bought for 6 and got a bottle of coke on the house, first time visit from Wales! Thanks","51.5555911614,0.00495185279099"
"If you want the big cups of drink, ask for an extra large. Their large is more like a small","51.5443856355,-0.0064168157807"
Nice place.. Great Fish... !!!!,"51.5683967003,0.00863442571991"
Rubbish fish and chips and over priced. Don't bother.,"51.4810292972,-0.0100193859241"
Great local chippy and the guys running it are lovely! Go for onion vinegar!,"51.5339669449,-0.0271489979958"
Great fish and chip shop at the Standard.,"51.4767172548,0.0187991924574"
They give you A LOT OF CHIPS.,"51.5290043954,-0.038548707962"
This is the only fish and chips shop that doesn't have food ready when you call on. So expect a long wait. Not exactly fast food more like slow serene,"51.57750657,0.065348"
"Big menu, choice of everything from a fish & chip shop, to fried chicken & kebabs. Staff are friendly. I'd give the food 6/7 out of 10.","51.5769628562,0.0457048416138"
Take a look at the food court,"51.5430844042,-0.00547269156777"
Wide selection of restaurants 👍🏼,"51.5426865511,-0.00718844987989"
Nite out with the diamond geezers...,"51.5431730497,-0.022851306746"
Excellent baby change facilities at the food court near Leon,"51.4388949638,0.270924568176"
Great macarron and cakes at l'orchidee . I really recommend it,"51.5439005292,-0.00862899578335"
Food Service is extremely slow - might be worth checking out everywhere else in the food court first!,"51.4393072215,0.273738039354"
Decent food court,"51.5031056764,-0.0187391584592"
"Don't pay to eat in, you can walk 10secs to the food court and... It's free!","51.5427057069,-0.00737962666039"
Great mushroom and asparagus pie with mash and vege gravy at Square Pie,"51.4391628992,0.273712273733"
The service and the food were terrible. Far from the quality of the one in Earl's Court.,"51.50297016,-0.018644705"
Damn good green curry for a stall in a food court.,"51.5428477613,-0.00700744533275"
Not bad food for a food court. Beats maccas or KFC. Sweet & sour chicken was filling. Chicken noodles were a bit dry but edible,"51.5436803525,-0.0062184287189"
"No dedicated seating for McDonalds here within the food court, so make sure you find somewhere to sit before walking away from the countertop with a tray of food","51.5439126424,-0.00650734539871"
