tips,ll,lng,lat,clean_stem,lem_words,lem_type
Little paridise,"51.5351405171,-0.152281980966",51.5351405171,51.5351405171,"[littl, paridis]",little paridise,JJ NN
Feeding time 15:00,"51.5341735659,-0.152906366808",51.5341735659,51.5341735659,"[feed, time]",feeding time,JJ NN
Amazing opportunity to see these impressive animals up close!,"51.5354275257,-0.154491662589",51.5354275257,51.5354275257,"[amaz, opportun, see, impress, anim, close]",amazing opportunity see impressive animal close,JJ NN VB JJ NN RB
Book - HP1 - Harry first learns he can talk to snakes here,"51.5351779875,-0.15563249588",51.5351779875,51.5351779875,"[book, harri, first, learn, talk, snake]",book hp harry first learn talk snake here,NN NN VB JJ VB VB NN RB
Don't pet these creatures. They bite 🙊,"51.5334199601,-0.151429574736",51.5334199601,51.5334199601,"[pet, creatur, bite]",don pet creature bite,VB NN NN VB
"Daily show when the giraffes get fed an ""afternoon tea"" snack of leaves that's worth catching.","51.5355847042,-0.157752316165",51.5355847042,51.5355847042,"[daili, show, giraff, get, fed, afternoon, tea, snack, leav, worth, catch]",daily show giraffes get fed afternoon tea snack leaf be worth catch,JJ NN NN VB VB NN NN NN NN VB JJ VB
The Tim Hunkin-designed mechanical clock outside the birdhouse building does its thing every hour on the hour.,"51.5335594563,-0.151974343573",51.5335594563,51.5335594563,"[tim, mechan, clock, outsid, birdhous, build, doe, thing, everi, hour, hour]",tim hunkin design mechanical clock birdhouse building do thing hour hour,NN VB VB JJ NN JJ NN VB NN NN NN
Watch out for tiger talks,"51.5340487741,-0.152968918924",51.5340487741,51.5340487741,"[watch, tiger, talk]",watch tiger talk,NN NN NN
"20 February: On wintry days in Central London, it is easy to forget that there is a rainforest only a short distance away, with monkeys, lemurs & pygmy marmosets roaming right in the middle of London.","51.536436306,-0.155377593914",51.536436306,51.536436306,"[februari, wintri, day, central, london, easi, forget, rainforest, onli, short, distanc, away, monkey, lemur, pygmi, marmoset, roam, right, middl, london]",february wintry day central london be easy forget be rainforest only short distance away monkey lemur pygmy marmoset roam right middle london,NN JJ NN JJ NN VB JJ VB VB NN RB JJ NN RB NN VB NN NN VB RB NN NN
See the shows...one at 11:30 and another at 2:30,"51.3494358816,-0.315885428448",51.3494358816,51.3494358816,"[see, show, one, anoth]",see show,VB NN
The cake is a lie! I mean free nan...,"51.5245236192,-0.0767478675563",51.5245236192,51.5245236192,"[cake, lie, mean, free, nan]",cake be lie mean free nan,NN VB VB JJ JJ NN
Egg nan roll must try for breakfast ❤️,"51.51243,-0.12690805",51.51243,51.51243,"[egg, nan, roll, must, tri, breakfast]",egg nan roll try breakfast,NN JJ NN VB NN
Garlic nan on everything!!!,"51.5114845689,-0.0706930862165",51.5114845689,51.5114845689,"[garlic, nan, everyth]",garlic nan everything,NN RB NN
Lamb chops starter was very tasty. Garlic nan was fluffy with a crisp base.,"51.552011,0.005676",51.552011,51.552011,"[lamb, chop, starter, wa, veri, tasti, garlic, nan, wa, fluffi, crisp, base]",lamb chop starter be very tasty garlic nan be fluffy crisp base,NN NN NN VB RB JJ NN NN VB JJ JJ NN
Food is delicious. Good service and price. Don’t forget to ask for the almond Nan.,"51.503998783,-0.0952144172733",51.503998783,51.503998783,"[food, delici, good, servic, price, forget, ask, almond, nan]",food be delicious good service price don forget ask almond nan,NN VB JJ JJ NN NN VB VB VB NN NN
"Oh, the fruit yoghurt for breakfast was so delicious. The egg nan as well...","51.5360803511,-0.125733423886",51.5360803511,51.5360803511,"[oh, fruit, yoghurt, breakfast, wa, delici, egg, nan, well]",fruit yoghurt breakfast be so delicious egg nan as well,NN NN NN VB RB JJ NN RB RB RB
"Lovely food, best nan I've had in ages an nice spicy madras...yum","51.4567410239,0.0941851943743",51.4567410239,51.4567410239,"[love, food, best, nan, age, nice, spici, madra, yum]",lovely food best nan ve have age nice spicy madra yum,JJ NN VB RB NN VB NN JJ JJ NN NN
"Nice chiken tikka an nans, cosy place, fast and plesant staff","51.5150656336,-0.126808932884",51.5150656336,51.5150656336,"[nice, chiken, tikka, nan, cosi, place, fast, plesant, staff]",nice chiken tikka nans cosy place fast plesant staff,JJ NN VB JJ JJ NN RB JJ NN
Best Shish Kebabs and Nans in London,"51.5171644948,-0.0634994968617",51.5171644948,51.5171644948,"[best, shish, kebab, nan, london]",best shish kebab nan london,JJ NN NN NN NN
"Raj Kachori, Green prawns are the best orders from the starters. Murgh Hara Payz, Chicken biryani, Travncore Prawn, and the chili nan Very very good food I highly recommend the place","51.5101570037,-0.137730520287",51.5101570037,51.5101570037,"[raj, kachori, green, prawn, best, order, starter, murgh, hara, payz, chicken, biryani, travncor, prawn, chili, nan, veri, veri, good, food, highli, recommend, place]",raj kachori green prawn be best order starter murgh hara payz chicken biryani travncore prawn chili nan very very good food highly recommend place,NN NN JJ NN VB JJ NN NN VB NN NN NN NN RB NN NN NN RB RB JJ NN RB VB NN
"It's sooooo good we came back again! MUST get the chicken ruby, cheese nan, sali boti (lamb curry) and chai tea.","51.5131676214,-0.139654280124",51.5131676214,51.5131676214,"[sooooo, good, came, back, must, get, chicken, rubi, chees, nan, sali, boti, lamb, curri, chai, tea]",sooooo good come back again get chicken ruby cheese nan sali boti lamb curry chai tea,JJ JJ VB RB RB VB NN VB NN RB NN NN NN VB JJ NN
Love the food and nan bread was yummy,"51.5085452783,-0.141423670232",51.5085452783,51.5085452783,"[love, food, nan, bread, wa, yummi]",love food nan bread be yummy,VB NN JJ NN VB JJ
Little Nan's Club has taken up residence here on weekends.,"51.4753122138,-0.0356117943032",51.4753122138,51.4753122138,"[littl, nan, club, ha, taken, resid, weekend]",little nan club have take residence here weekend,JJ NN NN VB VB NN RB NN
"There are two restaurants one is modern which is up and one is classic which is down , go down try chili brown , chicken butter and nan bread 🍞","51.514588,-0.155679",51.514588,51.514588,"[two, restaur, one, modern, one, classic, go, tri, chili, brown, chicken, butter, nan, bread]",be restaurant one be modern be up one be classic be down go down try chili brown chicken butter nan bread,VB NN NN VB JJ VB RB NN VB JJ VB RB VB RB JJ NN JJ NN NN JJ NN
Best butter chicken and nan  bread,"51.5146529297,-0.157771742894",51.5146529297,51.5146529297,"[best, butter, chicken, nan, bread]",best butter chicken nan bread,JJ NN NN JJ NN
mixed grill with nan and butter chicken - everything was delicious,"51.5157355778,-0.189014327835",51.5157355778,51.5157355778,"[mix, grill, nan, butter, chicken, everyth, wa, delici]",mixed grill nan butter chicken everything be delicious,JJ NN NN NN NN NN VB JJ
"Jeera curry was good, a bit sweet. Pilau rice lacked flavour, samosas like empty spring rolls, nan ok. Only entered because I was offered a £15 4 dish dinner with a drink, I wouldn't pay full prices.","51.5197196876,-0.0718265771513",51.5197196876,51.5197196876,"[jeera, curri, wa, good, bit, sweet, pilau, rice, lack, flavour, samosa, like, empti, spring, roll, nan, onli, enter, becaus, wa, offer, dish, dinner, drink, would, pay, full, price]",jeera curry be good bit sweet pilau rice lack samosa empty spring roll nan only enter be offer dish dinner drink not pay full price,NN VB VB JJ JJ JJ NN NN VB NN JJ NN NN RB RB VB VB VB JJ NN NN RB VB JJ NN
Great garlic nan!,"51.5016473903,-0.0257635931166",51.5016473903,51.5016473903,"[great, garlic, nan]",great garlic nan,JJ NN RB
Big menu with good variation. Delicious cheap veggie food. BYOB. No nan bread.,"51.5900970877,-0.104205213988",51.5900970877,51.5900970877,"[big, menu, good, variat, delici, cheap, veggi, food, byob, nan, bread]",big menu good variation delicious cheap veggie food nan bread,JJ NN JJ NN JJ NN NN NN JJ NN
Best Baryani and Nan ever in UK,"51.498929774,-0.166110429019",51.498929774,51.498929774,"[best, baryani, nan, ever, uk]",best baryani nan ever uk,RB NN NN RB NN
"""You never know what to expect at the original east London gallery. Since 1901, it has shown modern artists from Barbara Hepworth to Nan Goldin, Jackson Pollock and David Hockney...""","51.5160504102,-0.0702408819349",51.5160504102,51.5160504102,"[never, know, expect, origin, east, london, galleri, sinc, ha, shown, modern, artist, barbara, hepworth, nan, goldin, jackson, pollock, david, hockney]",never know expect original east london gallery have show modern artist barbara hepworth nan goldin jackson pollock david hockney,RB VB VB JJ NN NN NN VB VB JJ NN NN NN VB NN NN NN JJ NN
"This is the best curry cafe in Brick Lane.  £4.60 for curry, rice or nan bread and a soft drink. Great lunch stop too","51.5184391261,-0.0714234534091",51.5184391261,51.5184391261,"[thi, best, curri, cafe, brick, lane, curri, rice, nan, bread, soft, drink, great, lunch, stop]",be best curry cafe brick lane curry rice nan bread soft drink great lunch stop too,VB JJ VB NN NN NN VB NN JJ NN JJ NN JJ NN VB RB
Peshwari nan is soooo good!,"51.5144827517,-0.0629117079795",51.5144827517,51.5144827517,"[peshwari, nan, soooo, good]",peshwari nan be soooo good,NN NN VB JJ JJ
Excellent service and atmosphere. The neck and nan were the standout,"51.5144455494,-0.126370488901",51.5144455494,51.5144455494,"[excel, servic, atmospher, neck, nan, standout]",excellent service atmosphere neck nan be standout,JJ NN NN NN NN VB NN
"If the rola wola stand is there, go go go!! Nan bread meats pulled pork, what more could you ask for","51.535233,-0.12633406",51.535233,51.535233,"[rola, wola, stand, go, go, go, nan, bread, meat, pull, pork, could, ask]",rola wola stand be there go go go nan bread meat pulled pork more ask,NN VB NN VB RB VB VB VB JJ NN NN JJ NN RB VB
"Chicken tandoori off the bone, mutton Baryani, pilau rice, Haleem, ginger chicken, nan, aloo parata all excellent","51.5016611154,-0.156999119718",51.5016611154,51.5016611154,"[chicken, tandoori, bone, mutton, baryani, pilau, rice, haleem, ginger, chicken, nan, aloo, parata, excel]",chicken tandoori bone mutton baryani pilau rice haleem ginger chicken nan aloo parata excellent,NN VB NN NN NN NN NN NN NN NN NN NN NN JJ
"Enjoy the £11.90 meal deal. Any curry (not King Prawn) inc rice, nan etc. A bargain","51.5107577572,-0.134367538867",51.5107577572,51.5107577572,"[enjoy, meal, deal, ani, curri, king, prawn, inc, rice, nan, etc, bargain]",enjoy meal deal curry not king prawn inc rice nan etc bargain,VB NN VB VB RB NN NN NN NN RB VB NN
Best Iraqi nan bread,"51.5150764942,-0.162527601521",51.5150764942,51.5150764942,"[best, iraqi, nan, bread]",best iraqi nan bread,RB JJ NN NN
Try the chicken curry and veg lunchbox - complete with nan and rice,"51.4960632989,-0.208231527717",51.4960632989,51.4960632989,"[tri, chicken, curri, veg, lunchbox, complet, nan, rice]",try chicken curry veg lunchbox complete nan rice,VB NN VB NN NN VB NN NN
Friendliest nandos staff ever... And a couple of cute ones too.. Always get a table and quick service.. Decent nans,"51.5215724385,-0.143358164659",51.5215724385,51.5215724385,"[friendliest, nando, staff, ever, coupl, cute, one, alway, get, tabl, quick, decent, nan]",friendliest nandos staff ever couple cute one too always get table quick service decent nan,JJ NN NN RB NN JJ NN RB RB VB NN JJ NN JJ NN
"Great sushi and lots of variety. Ask for the day's specials in Japanese! They're bound to produce something amazing for your efforts! ""今日のおすすめは何ですか？"" [Kyō no osusume wa nan desuka?] www.wordbank.com","51.5097,-0.13146847",51.5097,51.5097,"[great, sushi, lot, varieti, ask, day, special, japanes, bound, produc, someth, amaz, effort, kyō, osusum, wa, nan, desuka]",great sushi lot variety ask day special japanese re bound produce something amazing effort 今日のおすすめは何ですか kyō osusume wa nan desuka www wordbank com,JJ NN NN NN NN NN NN JJ NN NN VB NN JJ NN VB VB NN VB RB JJ NN VB NN
"Try the Lamb Kabab With Salad - Minced lamb grilled over charcoal served with salad and house nan. Comes with soup, desert and tea! Great deal and most importantly delicious!","51.5230976268,-0.174597410138",51.5230976268,51.5230976268,"[tri, lamb, kabab, salad, minc, lamb, grill, charcoal, serv, salad, hous, nan, come, soup, desert, tea, great, deal, importantli, delici]",try lamb kabab salad mince lamb grilled charcoal serve salad house nan come soup desert tea great deal most importantly delicious,VB NN NN NN VB NN JJ NN VB NN NN NN VB NN NN NN JJ NN RB RB JJ
"The ""meal"" is no deal... Instead, order a dish like chicken mussala on the side with an additional side of nan.   The food is top notch.","51.4938426192,-0.140548996748",51.4938426192,51.4938426192,"[meal, deal, instead, order, dish, like, chicken, mussala, side, addit, side, nan, food, top, notch]",meal be deal instead order dish chicken mussala side additional side nan food be top notch,NN VB NN RB NN NN NN NN NN JJ NN NN NN VB JJ NN
"It's like partying in your nan's front room, with some funk and dance mixing through the stereo. Order a Storm in a Cup. Groove away.","51.5179416747,-0.134310433217",51.5179416747,51.5179416747,"[like, parti, nan, front, room, funk, danc, mix, stereo, order, storm, cup, groov, away]",party nan front room funk dance mix stereo order storm cup groove away,VB NN JJ NN NN NN VB JJ NN NN NN NN RB
Goan fish curry and a chilli garlic nan. Yum blimmin yum!,"51.324877079,0.155169153322",51.324877079,51.324877079,"[goan, fish, curri, chilli, garlic, nan, yum, blimmin, yum]",goan fish curry chilli garlic nan yum blimmin yum,NN NN VB JJ NN RB NN NN NN
Great food and the mix starters with bread nan is the best,"51.515765795,-0.189532619627",51.515765795,51.515765795,"[great, food, mix, starter, bread, nan, best]",great food mix starter bread nan be best,JJ NN NN NN NN NN VB JJ
"Deliciouse nan bread, sooo welcoming service and quality food! Meat is prepeared fantastic!","51.5040574779,-0.243567556502",51.5040574779,51.5040574779,"[delicious, nan, bread, sooo, welcom, servic, qualiti, food, meat, prepear, fantast]",nan bread sooo welcome service quality food meat be prepeared fantastic,JJ NN RB VB NN NN NN NN VB JJ JJ
Very very tasty food… hard to choose a favorite dish… all the starters were yummy & good nan & fried rice too… plus great service :-),"51.5871371718,-0.302492467098",51.5871371718,51.5871371718,"[veri, veri, tasti, hard, choos, favorit, starter, yummi, good, nan, fri, rice, plu, great, servic]",very very tasty food hard choose favorite dish starter be yummy good nan fried rice too plus great service,RB RB JJ NN JJ VB JJ NN NN VB JJ JJ JJ JJ NN RB RB JJ NN
They make chicken just like your nan does.,"51.5061811872,-0.230385614036",51.5061811872,51.5061811872,"[make, chicken, like, nan, doe]",make chicken just nan do,VB NN RB NN VB
The Peshwari Nan and Lamb Rogan Josh were delicious!,"51.4296657962,-0.166211482787",51.4296657962,51.4296657962,"[peshwari, nan, lamb, rogan, josh, delici]",peshwari nan lamb rogan josh be delicious,NN NN NN VB RB VB JJ
If you're getting food and you like traditional Irish grub go for the Irish bacon and cabbage. Just like my nan used to make.,"51.5285253341,-0.123258735554",51.5285253341,51.5285253341,"[get, food, like, tradit, irish, grub, go, irish, bacon, cabbag, like, nan, use, make]",be get food like traditional irish grub go irish bacon cabbage just nan used make,VB VB NN VB JJ NN NN VB JJ NN NN RB NN VB VB
The Kashke Bademjan was great to start with Nan. The Chello Kebab Koubideh was delicious! Fantastic portions as well!,"51.5319262922,-0.232519623547",51.5319262922,51.5319262922,"[kashk, bademjan, wa, great, start, nan, chello, kebab, koubideh, wa, delici, fantast, portion, well]",kashke bademjan be great start chello kebab koubideh be delicious fantastic portion as well,NN NN VB JJ VB NN NN NN VB JJ JJ NN RB RB
Great asian food. Always fresh and tasty and they make the best nan bread I've ever tasted.,"51.5106636734,-0.321831965849",51.5106636734,51.5106636734,"[great, asian, food, alway, fresh, tasti, make, best, nan, bread, ever, tast]",great asian food always fresh tasty make best nan bread ve ever taste,JJ JJ NN RB JJ JJ VB JJ JJ NN NN RB VB
"Try the chicken with tipical Nan bread, fresh baked in the restaurant.","51.5115534591,-0.187380081202",51.5115534591,51.5115534591,"[tri, chicken, tipic, nan, bread, fresh, bake, restaur]",try chicken tipical nan bread fresh baked restaurant,VB NN JJ NN NN JJ JJ NN
"Viande, épices, riz, Nan... tout est bon dans ce restaurant qui n'est pas cher qui plus est ! A ne manquer sous aucun prétexte si vous passez dans les parages.","51.6485989085,-0.130138194403",51.6485989085,51.6485989085,"[viand, épice, riz, nan, tout, est, bon, dan, ce, restaur, qui, pa, cher, qui, plu, est, ne, manquer, sou, aucun, prétext, si, vou, passez, dan, le, parag]",viande épice riz nan tout ce restaurant sous aucun prétexte si parage,NN NN VB RB VB JJ NN JJ NN NN NN NN
Shish tawook is always good with some houmous and tabouleh and nan. Good wholesome food. Service works.,"51.5155388706,-0.163605848378",51.5155388706,51.5155388706,"[shish, tawook, alway, good, houmou, tabouleh, nan, good, wholesom, food, servic, work]",shish tawook be always good houmous tabouleh nan good wholesome food service work,NN NN VB RB JJ JJ NN RB JJ JJ NN NN NN
The best carvery I have ever had. This pub even outdoes my Nan's home cooked Sunday roasts! A real hidden gem and fantastic value at £11pp :-) we will all be back ...,"51.5049896335,-0.305553813873",51.5049896335,51.5049896335,"[best, carveri, ever, thi, pub, even, outdo, nan, home, cook, sunday, roast, real, hidden, gem, fantast, valu, back]",best carvery have ever have pub even outdo nan home cook sunday roast real hidden gem fantastic value pp be back,JJ NN VB RB VB NN RB VB NN NN VB NN NN JJ NN NN JJ NN NN VB RB
Lovely food and friendly staff. Nice setting and ambience. As for a chilli nan. Not on the menu but very tasty.,"51.737533527,0.464097261429",51.737533527,51.737533527,"[love, food, friendli, staff, nice, set, ambienc, chilli, nan, menu, veri, tasti]",lovely food friendly staff nice setting ambience chilli nan not menu very tasty,JJ NN JJ NN JJ NN NN NN NN RB NN RB JJ
You've gotta have the Large chicken tikka in Nan. BEST KEBAB EVER!,"51.51095597,-0.37564",51.51095597,51.51095597,"[got, ta, larg, chicken, tikka, nan, best, kebab, ever]",gotta have large chicken tikka nan best kebab ever,VB VB JJ NN NN RB VB NN RB
yaaaaaay nando's chicken wings........,"51.5396545913,0.0818280188137",51.5396545913,51.5396545913,"[yaaaaaay, nando, chicken, wing]",yaaaaaay nando chicken wing,NN NN NN NN
"Really good service here. The best nandos I've been to. Lovely staff, very clean and tidy, nice balcony over looking O2 arena entertainment district and most importantly really yummy food!!","51.5030859055,0.00494167408236",51.5030859055,51.5030859055,"[realli, good, servic, best, nando, love, staff, veri, clean, tidi, nice, balconi, look, arena, entertain, district, importantli, realli, yummi, food]",really good service here best nandos have be lovely staff very clean tidy nice balcony look arena entertainment district most importantly really yummy food,RB JJ NN RB JJ RB VB VB JJ NN RB JJ JJ JJ NN VB NN NN NN RB RB RB JJ NN
Get yourself 20% off! This week's Romford Recorder has a Nando's Hornchurch voucher! Valid until 5/5/13 see terms and cond. :-) Get clucking!,"51.5626398204,0.219148214064",51.5626398204,51.5626398204,"[get, thi, week, romford, record, ha, nando, hornchurch, voucher, valid, see, term, cond, get, cluck]",get week romford recorder have nando hornchurch voucher valid see term cond get cluck,VB NN NN NN VB NN NN NN JJ NN NN NN NN VB
Tasttttyy !!!,"51.4833955363,-0.00960289447379",51.4833955363,51.4833955363,[tasttttyy],tasttttyy,NN
Always seem to get the wobbly table !,"51.4873229711,0.275970129822",51.4873229711,51.4873229711,"[alway, seem, get, wobbl, tabl]",always seem get wobbly table,RB VB VB JJ NN
"Really good staff! Nice, polite, and helpful. Food fresh, tasty and very quickly served.","51.4900521198,0.0128248989218",51.4900521198,51.4900521198,"[realli, good, staff, nice, polit, help, food, fresh, tasti, veri, quickli, serv]",really good staff nice polite helpful food fresh tasty very quickly serve,RB JJ NN JJ JJ JJ NN JJ JJ RB RB VB
Chicken is great like usual. Sweet potato tastes weird though. I'd stay away from the sweet potato.,"51.4870961649,0.281184406077",51.4870961649,51.4870961649,"[chicken, great, like, usual, sweet, potato, tast, weird, though, stay, away, sweet, potato]",chicken be great usual sweet potato taste weird stay away sweet potato,NN VB JJ JJ JJ NN VB JJ VB RB JJ NN
"Chicken BBQ it's good ,very poor quality of menu :(  I vill not come here any more ;)","51.5423777739,0.00393906210522",51.5423777739,51.5423777739,"[chicken, bbq, good, veri, poor, qualiti, menu, vill, come, ani]",chicken bbq be good very poor quality menu not come here more,NN NN VB JJ RB JJ NN NN RB VB RB JJ
Chicken meets man. Man is victorious.,"51.5577226335,0.0735475203464",51.5577226335,51.5577226335,"[chicken, meet, man, man, victori]",chicken meet man man be victorious,NN VB NN NN VB JJ
The Lemon Piri-Piri sauce is where it's at if you don't want a sauce to spicy :),"51.5756333224,0.179803517369",51.5756333224,51.5756333224,"[lemon, sauc, want, sauc, spici]",lemon piri piri sauce be be do not want sauce spicy,NN NN NN NN VB VB VB RB VB NN JJ
"The most addictive chicken restaurant in the world? Try the rice, it's awesome! (4 of 4 petals via Fondu)","51.4376087297,0.270660364555",51.4376087297,51.4376087297,"[addict, chicken, restaur, world, tri, rice, awesom, petal, via, fondu]",most addictive chicken restaurant world try rice be awesome petal fondu,RB JJ NN NN NN VB NN VB JJ NN NN
If you choose to go on saturday : best times are between 12:30 -1.30pm or 7.30 to 9.30pm.,"51.5159222769,0.0771987965483",51.5159222769,51.5159222769,"[choos, go, saturday, best, time]",choose go saturday best time be pm pm,VB VB NN VB NN VB NN NN
This Nando's is seriously great. The staff are all friendly and the wait for take-away orders is insanely quick. Must check it out.,"51.5031608768,-0.0184979246352",51.5031608768,51.5031608768,"[thi, nando, serious, great, staff, friendli, wait, order, insan, quick, must, check]",nando be seriously great staff be friendly wait take away order be insanely quick check out,NN VB RB JJ NN VB JJ NN NN NN NN VB RB JJ VB RB
Your a winner because you've chosen chicken for dinner,"51.4507736282,0.180125056839",51.4507736282,51.4507736282,"[winner, becaus, chosen, chicken, dinner]",winner have choose chicken dinner,NN VB VB NN NN
I recommend the chicken...,"51.4566542361,0.147392324807",51.4566542361,51.4566542361,"[recommend, chicken]",recommend chicken,VB NN
"Slow service, but tasty as their chicken always is","51.5848384245,-0.0204557859801",51.5848384245,51.5848384245,"[slow, servic, tasti, chicken, alway]",slow service tasty chicken always be,JJ NN JJ NN RB VB
Nando's #105. Very very dry chicken. 2 Cocks.,"51.4477742014,-0.0181296358898",51.4477742014,51.4477742014,"[nando, veri, veri, dri, chicken, cock]",nando very very dry chicken cock,RB RB RB JJ NN VB
Scharfes Hähnchen scharfe Soßen! Preis ok,"51.5120560768,-0.0836225319468",51.5120560768,51.5120560768,"[scharf, hähnchen, scharf, soßen, prei, ok]",hähnchen scharfe soßen preis,RB VB NN NN
Try the red pepper dip with lovely warm pitta - it's amazing!,"51.3934629829,0.112217104865",51.3934629829,51.3934629829,"[tri, red, pepper, dip, love, warm, pitta, amaz]",try red pepper dip lovely warm pitta be amazing,VB JJ NN NN JJ NN NN VB JJ
"One of the best nando's I've been to, it looks awesome inside.","51.5073557684,-0.0928222217555",51.5073557684,51.5073557684,"[one, best, nando, look, awesom, insid]",best nando have be look awesome inside,JJ RB VB VB VB JJ NN
Chicken wing starter is BOOM!,"51.4059810423,0.0160824596857",51.4059810423,51.4059810423,"[chicken, wing, starter, boom]",chicken wing starter be boom,NN NN NN VB NN
Dont sit near the door.,"51.4913335927,0.0668020335976",51.4913335927,51.4913335927,"[dont, sit, near, door]",dont sit door,VB NN NN
Extra Hot Chicken Butterfly with Chips with PERI-PERI salt and Spicy Rice is the way to go!,"51.5050113731,-0.020292912016",51.5050113731,51.5050113731,"[extra, hot, chicken, butterfli, chip, salt, spici, rice, way, go]",extra hot chicken butterfly chip peri peri salt spicy rice be way go,JJ JJ NN NN NN NN NN NN JJ NN VB NN VB
"Pay with your Amex until 15th August,  to get a tenner off.","51.5246610071,-0.0358417167354",51.5246610071,51.5246610071,"[pay, amex, august, get, tenner]",pay amex august get tenner,NN NN JJ VB NN
"John Smith's inside do pretty nice sandwiches, great with a meal deal.","51.5075332602,0.0645268791959",51.5075332602,51.5075332602,"[john, smith, insid, pretti, nice, sandwich, great, meal, deal]",john do pretty nice sandwich great meal deal,NN VB RB JJ NN JJ NN NN
Used to be Westwood college,"51.4586798153,0.0874060021463",51.4586798153,51.4586798153,"[use, westwood, colleg]",used be westwood college,VB VB JJ NN
In Sherlock Holmes (2009) the King William Court was used for a scene of a crowd rioting outside parliament due to the fear instilled in the public by Lord Blackwood and his otherworldly tricks.,"51.4822903636,-0.0053017620217",51.4822903636,51.4822903636,"[sherlock, holm, king, william, court, wa, use, scene, crowd, riot, outsid, parliament, due, fear, instil, public, lord, blackwood, hi, otherworldli, trick]",sherlock holmes king william court be used scene crowd rioting outside parliament due fear instill public lord blackwood otherworldly trick,NN NN NN NN NN VB VB NN NN NN JJ NN JJ NN VB NN NN NN JJ NN
Keep an eye out 4 free gig nights!!,"51.5301056921,-0.00944137573242",51.5301056921,51.5301056921,"[keep, eye, free, gig, night]",keep eye free gig night,VB NN JJ NN NN
Worst uni in London. Avoid at all cost,"51.4783735416,-0.0112279286536",51.4783735416,51.4783735416,"[worst, uni, london, avoid, cost]",worst uni london avoid cost,JJ JJ NN VB NN
Stunning view in the heart of one of London's financial districts. Best way to learn about business!,"51.504763966,-0.0192305779802",51.504763966,51.504763966,"[stun, view, heart, one, london, financi, district, best, way, learn, busi]",stunning view heart london financial district best way learn business,JJ NN NN NN JJ NN VB NN VB NN
Good luck getting a room!,"51.4832788331,-0.00701170909762",51.4832788331,51.4832788331,"[good, luck, get, room]",good luck get room,JJ NN VB NN
Wonderful space.,"51.4801620897,-0.00895295636369",51.4801620897,51.4801620897,"[wonder, space]",wonderful space,JJ NN
Residence is depressing :(,"51.4814623552,-0.021853351134",51.4814623552,51.4814623552,"[resid, depress]",residence be depress,NN VB VB
Ravensbourne provides the eduroam network,"51.4206342796,0.0536217146185",51.4206342796,51.4206342796,"[ravensbourn, provid, eduroam, network]",ravensbourne provide eduroam network,NN VB NN NN
There is no parking facilities here for students,"51.5921482768,0.22577631494",51.5921482768,51.5921482768,"[park, facil, student]",be parking facility here student,VB NN NN RB NN
It's easy to get lost,"51.5246699254,-0.0407184177765",51.5246699254,51.5246699254,"[easi, get, lost]",easy get lose,JJ VB VB
The Sociology Department has the best view of London from the 12th floor,"51.4749006111,-0.0359053216073",51.4749006111,51.4749006111,"[sociolog, depart, ha, best, view, london, floor]",sociology department have best view london floor,NN NN VB JJ NN NN NN
dont come to the collage 1pm too many boy racers,"51.5160204355,-0.0437521934509",51.5160204355,51.5160204355,"[dont, come, collag, mani, boy, racer]",dont come collage pm too many boy racer,VB VB NN NN RB JJ NN NN
Lunch at Natura in the Students Union Building (Tiananmen) is cheap and vegan. Give it a go!,"51.4751916996,-0.0384585945885",51.4751916996,51.4751916996,"[lunch, natura, student, union, build, tiananmen, cheap, vegan, give, go]",lunch natura student union build tiananman be cheap vegan give go,NN NN NN NN VB NN VB JJ VB VB VB
wonderful to be here again,"51.5236777482,-0.04035115242",51.5236777482,51.5236777482,[wonder],wonderful be here again,JJ VB RB RB
Don't forget your ID card or blond lady will send you home :D,"51.501801061,0.00521871992571",51.501801061,51.501801061,"[forget, id, card, blond, ladi, send, home]",don forget id card blond lady send home,VB VB NN NN JJ NN VB NN
Until the 10th August we also have a clearing reception at Queen Anne Court. Please stop by with any programme enquiries!,"51.4836380747,-0.00530663545313",51.4836380747,51.4836380747,"[august, also, clear, recept, queen, ann, court, pleas, stop, ani, programm, enquiri]",august also have clearing reception queen anne court please stop programme enquiry,JJ RB VB NN NN NN VB NN NN NN NN NN
We've got a University Page on foursquare now!!Follow us :),"51.4829711366,-0.00566143454442",51.4829711366,51.4829711366,"[got, univers, page, foursquar, follow, us]",have get university page foursquare now follow,VB VB NN NN JJ RB VB
Love the security guard!he is so funny and friendly!,"51.5243655818,-0.0378266931929",51.5243655818,51.5243655818,"[love, secur, guard, funni, friendli]",love security guard be so funny friendly,VB NN NN VB RB JJ JJ
Socialising in the kitchen while lost in journals! Good stuff!,"51.5250219197,-0.0379739937625",51.5250219197,51.5250219197,"[socialis, kitchen, lost, journal, good, stuff]",socialising kitchen lost journal good stuff,NN NN JJ NN JJ NN
Go up to the second floor if you need to sneak in late to a lecture,"51.5237234958,-0.0388809735813",51.5237234958,51.5237234958,"[go, second, floor, need, sneak, late, lectur]",go second floor need sneak late lecture,VB JJ NN VB VB JJ NN
Dont try the secret sauce,"51.5226430514,-0.0413650274277",51.5226430514,51.5226430514,"[dont, tri, secret, sauc]",dont try secret sauce,VB VB JJ NN
