words,type,polarity
have never be disappoint red eye,VB RB VB VB JJ NN,2.0
first time go be completely take live jazz band atmosphere order lobster cobb salad,JJ NN VB VB RB VB JJ NN NN NN VB NN JJ NN,2.0
first time go be completely take live jazz band atmosphere order lobster cobb salad,JJ NN VB VB RB VB JJ NN NN NN VB NN JJ NN,2.0
simply best meal nyc,RB JJ NN NN,2.0
go wrong red eye grill,VB JJ JJ NN NN,2.0
be move upper east side genuinely miss restaurant,VB VB JJ JJ NN RB VB NN,2.0
restaurant be cute not upscale,NN VB JJ RB NN,1.0
food be diamond rough food be delicious homemade perfect balance herb tomato,NN VB NN JJ NN VB JJ JJ JJ NN NN NN,2.0
food be diamond rough food be delicious homemade perfect balance herb tomato,NN VB NN JJ NN VB JJ JJ JJ NN NN NN,2.0
highly recommend,RB VB,2.0
favorite place eat ny,JJ NN VB NN,2.0
have great time jekyll hyde pub last night,VB JJ NN NN JJ NN JJ NN,2.0
really enjoy bar sit table have dinner,RB VB NN VB NN VB NN,2.0
server be really cool serve food drink smile,NN VB RB JJ VB NN NN NN,2.0
place decor hidden bathroom make good laugh,NN NN JJ NN VB JJ NN,2.0
place decor hidden bathroom make good laugh,NN NN JJ NN VB JJ NN,2.0
highly recommend visit restaurant have dinner drink,RB VB VB NN VB NN NN,2.0
be type person like be scared entertain be great place go eat,VB NN NN VB VB JJ VB VB JJ NN VB VB,2.0
husband thougt be great go jekyll hyde pub anniversary surprise be fantastic,NN NN VB JJ VB NN JJ NN NN NN VB JJ,2.0
have different beer offer thier guest make husband very happy food be delicious recommend dish be pumkin tortelini,VB JJ NN VB JJ NN VB NN RB JJ NN VB JJ VB NN VB NN NN,2.0
have different beer offer thier guest make husband very happy food be delicious recommend dish be pumkin tortelini,VB JJ NN VB JJ NN VB NN RB JJ NN VB JJ VB NN VB NN NN,2.0
have different beer offer thier guest make husband very happy food be delicious recommend dish be pumkin tortelini,VB JJ NN VB JJ NN VB NN RB JJ NN VB JJ VB NN VB NN NN,2.0
entertainment be great have show go dinner,NN VB JJ VB NN VB NN,2.0
please take advice go try place,VB VB NN VB VB NN,2.0
not be disapoint,RB VB VB,2.0
be not dissappoint least bit little gem,VB RB VB JJ NN JJ NN,2.0
bagel be huge,NN VB JJ,2.0
be served warm have soft fluffy interior,VB JJ NN VB JJ JJ NN,2.0
worker also absolutely load bagel cream cheese get little messy,NN RB RB VB NN NN NN VB JJ JJ,0.0
love highly recommend,VB RB VB,2.0
be frist time cafe st bart say delicous food service be,VB JJ NN NN NN NN VB JJ NN NN VB,2.0
be frist time cafe st bart say delicous food service be,VB JJ NN NN NN NN VB JJ NN NN VB,2.0
have highly recommend lobster roll not much mayo tell be fresh lobster,VB RB VB NN NN RB JJ NN VB VB JJ NN,2.0
have highly recommend lobster roll not much mayo tell be fresh lobster,VB RB VB NN NN RB JJ NN VB VB JJ NN,2.0
other guest enjoyed pizza santa fe chopped salad fish chip,JJ NN JJ NN NN NN JJ NN NN NN,2.0
other guest enjoyed pizza santa fe chopped salad fish chip,JJ NN JJ NN NN NN JJ NN NN NN,2.0
other guest enjoyed pizza santa fe chopped salad fish chip,JJ NN JJ NN NN NN JJ NN NN NN,2.0
highly recommend cafe st bart food ambience wonderful service,RB VB NN NN NN NN NN JJ NN,2.0
highly recommend cafe st bart food ambience wonderful service,RB VB NN NN NN NN NN JJ NN,2.0
highly recommend cafe st bart food ambience wonderful service,RB VB NN NN NN NN NN JJ NN,2.0
staff be absolutely professional,NN VB RB JJ,2.0
be not restaurant do,VB RB NN VB,2.0
nice quiet small enough more,JJ JJ JJ RB JJ,2.0
restaurant be way overhyped,NN VB NN JJ,0.0
chow fun chow see be really bland oily,NN NN NN NN VB RB JJ JJ,0.0
okay do not mind oily part cause most be cook way be way too bland,JJ VB RB VB JJ NN NN RB VB VB NN VB NN RB JJ,0.0
scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,1.0
scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,1.0
service be only thing good restaurant,NN VB JJ NN JJ NN,2.0
service be only thing good restaurant,NN VB JJ NN JJ NN,0.0
bore inside sushi be pretty average tuna be soggy other roll have flavor,VB NN NN VB RB VB NN VB JJ JJ NN VB NN,0.0
bore inside sushi be pretty average tuna be soggy other roll have flavor,VB NN NN VB RB VB NN VB JJ JJ NN VB NN,0.0
bore inside sushi be pretty average tuna be soggy other roll have flavor,VB NN NN VB RB VB NN VB JJ JJ NN VB NN,0.0
bore inside sushi be pretty average tuna be soggy other roll have flavor,VB NN NN VB RB VB NN VB JJ JJ NN VB NN,0.0
definitely not go back,RB RB VB RB,0.0
pad penang be delicious everything else be fantastic,NN NN VB JJ NN RB VB JJ,2.0
pad penang be delicious everything else be fantastic,NN NN VB JJ NN RB VB JJ,2.0
price be reasonable service be poor,NN VB JJ NN VB JJ,2.0
price be reasonable service be poor,NN VB JJ NN VB JJ,0.0
fresh restaurant be amazing food be delicious course fresh,JJ NN VB JJ NN VB JJ NN JJ,2.0
fresh restaurant be amazing food be delicious course fresh,JJ NN VB JJ NN VB JJ NN JJ,2.0
great romantic evening fun evening friend,JJ JJ NN NN NN NN,2.0
great romantic evening fun evening friend,JJ JJ NN NN NN NN,2.0
be go back very soon,VB VB RB RB RB,2.0
keep good work,VB JJ NN,2.0
hat chef,NN NN,2.0
be wonderful,VB JJ,2.0
salad be delicious refreshing very spicy,NN VB JJ JJ RB JJ,2.0
have pam special fried fish be amazing,VB VB JJ JJ NN VB JJ,2.0
too large just person nothing be left,RB JJ RB NN NN VB VB,0.0
too large just person nothing be left,RB JJ RB NN NN VB VB,2.0
great vibe lot person,JJ NN NN NN,2.0
husband be perfect be well do dry,NN VB JJ VB RB VB JJ,2.0
husband be perfect be well do dry,NN VB JJ VB RB VB JJ,0.0
do not complain like atmosphere so much,VB RB VB VB NN RB JJ,2.0
hot day be fabulous stop enjoy lunch,JJ NN VB JJ VB JJ NN,2.0
ambience be so cute quaint good business be there vacation,NN VB RB JJ JJ JJ NN VB RB NN,2.0
ambience be so cute quaint good business be there vacation,NN VB RB JJ JJ JJ NN VB RB NN,2.0
salad be fantastic,NN VB JJ,2.0
be look regular lettuce walnut salad get be great,VB VB JJ NN NN NN VB VB JJ,2.0
ingredient be organic be real plus,NN VB JJ VB JJ NN,2.0
be back,VB RB,2.0
be really good inexpensive sushi,VB RB JJ JJ NN,2.0
be really good inexpensive sushi,VB RB JJ JJ NN,2.0
spicy tuna roll be huge probably best ve have price range,JJ NN NN VB JJ RB JJ NN VB NN NN,2.0
spicy tuna roll be huge probably best ve have price range,JJ NN NN VB JJ RB JJ NN VB NN NN,2.0
spicy tuna roll be huge probably best ve have price range,JJ NN NN VB JJ RB JJ NN VB NN NN,2.0
yellowtail be particularly good well,NN VB RB JJ RB,2.0
have reservation all eat deal however choice be fairly limit probably order more food eat less just go menu,VB NN RB VB NN RB NN VB RB VB RB NN JJ NN VB JJ RB VB NN,0.0
have reservation all eat deal however choice be fairly limit probably order more food eat less just go menu,VB NN RB VB NN RB NN VB RB VB RB NN JJ NN VB JJ RB VB NN,0.0
event be place be sure stop again part town,NN VB NN VB JJ VB RB NN NN,2.0
big wong get big up fine establishment,JJ NN VB JJ NN JJ NN,2.0
have great price food service,VB JJ NN NN NN,2.0
have great price food service,VB JJ NN NN NN,2.0
have great price food service,VB JJ NN NN NN,2.0
have great price food service,VB JJ NN NN NN,2.0
atmosphere be noisy waiter be literally walk do thing fast,NN VB JJ NN VB RB VB VB NN RB,0.0
atmosphere be noisy waiter be literally walk do thing fast,NN VB JJ NN VB RB VB VB NN RB,2.0
food be prepare quickly efficiently,NN VB VB RB RB,2.0
come very reasonable price congee noodle rice dish be no more,VB RB JJ NN JJ NN NN NN VB RB JJ,2.0
come very reasonable price congee noodle rice dish be no more,VB RB JJ NN JJ NN NN NN VB RB JJ,2.0
come very reasonable price congee noodle rice dish be no more,VB RB JJ NN JJ NN NN NN VB RB JJ,2.0
come very reasonable price congee noodle rice dish be no more,VB RB JJ NN JJ NN NN NN VB RB JJ,2.0
takeout be great too give high quality tupperware as well,NN VB JJ RB VB JJ NN VB RB RB,2.0
place be always very crowd popular,NN VB RB RB VB JJ,2.0
enjoy very nice caesar salad wife have arugula goat cheese very tasty,VB RB JJ NN NN NN VB NN NN NN RB JJ,2.0
enjoy very nice caesar salad wife have arugula goat cheese very tasty,VB RB JJ NN NN NN VB NN NN NN RB JJ,2.0
opt pasta dish be served timely fresh,VB NN NN VB JJ JJ JJ,2.0
opt pasta dish be served timely fresh,VB NN NN VB JJ JJ JJ,2.0
conclude tiramisu chocolate cake be delicious,VB NN NN NN VB JJ,2.0
go back again,VB RB RB,2.0
recently go restaurant co worker lunch have amazing time,RB VB NN NN NN NN VB JJ NN,2.0
staff be accomodate food be absolutely delicious place be lovely,NN VB VB NN VB RB JJ NN VB JJ,2.0
staff be accomodate food be absolutely delicious place be lovely,NN VB VB NN VB RB JJ NN VB JJ,2.0
staff be accomodate food be absolutely delicious place be lovely,NN VB VB NN VB RB JJ NN VB JJ,2.0
even have visit manager want make sure be enjoy,RB VB NN NN VB VB JJ VB VB,2.0
yes price be high felt be worth,RB NN VB JJ NN VB JJ,0.0
yes price be high felt be worth,RB NN VB JJ NN VB JJ,2.0
feel be worth,VB VB JJ,2.0
sometimes get good food service,RB VB JJ NN NN,2.0
sometimes get good food service,RB VB JJ NN NN,1.0
sometimes get bad food bad service sometimes get good good bad service,RB VB JJ NN JJ NN RB VB JJ JJ JJ NN,0.0
sometimes get bad food bad service sometimes get good good bad service,RB VB JJ NN JJ NN RB VB JJ JJ JJ NN,0.0
sometimes get bad food bad service sometimes get good good bad service,RB VB JJ NN JJ NN RB VB JJ JJ JJ NN,0.0
sometimes get bad food bad service sometimes get good good bad service,RB VB JJ NN JJ NN RB VB JJ JJ JJ NN,2.0
be not consistent,VB RB JJ,0.0
place be bistro mean simple dish wine serve efficiently bustling atmosphere,NN VB NN VB JJ NN NN VB RB JJ NN,2.0
place be bistro mean simple dish wine serve efficiently bustling atmosphere,NN VB NN VB JJ NN NN VB RB JJ NN,2.0
place be bistro mean simple dish wine serve efficiently bustling atmosphere,NN VB NN VB JJ NN NN VB RB JJ NN,2.0
place be bistro mean simple dish wine serve efficiently bustling atmosphere,NN VB NN VB JJ NN NN VB RB JJ NN,2.0
do patis go wrong no,VB RB VB JJ RB,2.0
be not eat haut cuisine subtle hint cassuolet steake fritte tripe stew etc simple stuff,VB RB VB JJ NN JJ NN VB NN NN NN NN JJ JJ NN,2.0
be not eat haut cuisine subtle hint cassuolet steake fritte tripe stew etc simple stuff,VB RB VB JJ NN JJ NN VB NN NN NN NN JJ JJ NN,2.0
evaluate term pastis be simply wonderful,VB NN NN VB RB JJ,2.0
right brooklyn be nice cozy place good pizza,RB NN VB JJ JJ NN JJ NN,2.0
right brooklyn be nice cozy place good pizza,RB NN VB JJ JJ NN JJ NN,2.0
mine be little burnt still delicious goat cheese panchetta raddichio be kind bitter,NN VB JJ JJ RB JJ NN NN VB NN VB NN JJ,0.0
mine be little burnt still delicious goat cheese panchetta raddichio be kind bitter,NN VB JJ JJ RB JJ NN NN VB NN VB NN JJ,2.0
friend get mushroom pizza taste better,NN VB NN NN VB RB,2.0
sangria be pretty tasty good hot muggy day,NN VB JJ JJ JJ JJ JJ NN,2.0
kind small place guess be not too busy be able fit group kid,NN JJ NN NN VB RB RB JJ VB JJ VB NN NN,1.0
overall recommend go back again,JJ VB VB RB RB,2.0
start out bombay beer be big enough,VB RB JJ NN VB JJ RB,2.0
mmmmm be delicious,NN VB JJ,2.0
service be slow person be friendly,NN VB JJ NN VB JJ,0.0
service be slow person be friendly,NN VB JJ NN VB JJ,2.0
nice place relax have conversation,JJ NN VB VB NN,2.0
wait go back,VB VB RB,2.0
food be authentic italian delicious,NN VB JJ NN JJ,2.0
pizza be terrific be homemade pasta,NN VB JJ VB JJ NN,2.0
pizza be terrific be homemade pasta,NN VB JJ VB JJ NN,2.0
ambience be delightful service impeccable,NN VB JJ NN JJ,2.0
ambience be delightful service impeccable,NN VB JJ NN JJ,2.0
still mad have pay lousy food,RB JJ VB VB JJ NN,0.0
hanger steak be like rubber tuna be flavorless not mention taste have just be thaw,JJ NN VB JJ NN NN VB JJ RB VB VB VB RB VB VB,0.0
hanger steak be like rubber tuna be flavorless not mention taste have just be thaw,JJ NN VB JJ NN NN VB JJ RB VB VB VB RB VB VB,0.0
service be also horrible ambience be not great,NN VB RB JJ NN VB RB JJ,0.0
service be also horrible ambience be not great,NN VB RB JJ NN VB RB JJ,0.0
do not try be just go there hang out rest hipster apparently have sense taste,VB RB VB VB RB VB RB VB RB NN NN RB VB NN NN,0.0
go eat many different restaurant be place have go try,VB VB JJ JJ NN VB NN VB VB VB,2.0
be first time write review restaurant food service be excellent,VB JJ NN VB NN NN NN NN VB JJ,2.0
be first time write review restaurant food service be excellent,VB JJ NN VB NN NN NN NN VB JJ,2.0
filet mignon dish be superb,NN NN NN VB JJ,2.0
defiantly come back here again top choice,RB VB RB RB RB JJ NN,2.0
small cute restaurant,JJ JJ NN,2.0
absolutely love place,RB VB NN,2.0
ambience be very dark original,NN VB RB JJ JJ,2.0
sushi be amazing,NN VB JJ,2.0
amazingly cheap,RB JJ,2.0
big thumb,JJ NN,2.0
very affordable excellent ambient,RB JJ JJ NN,2.0
very affordable excellent ambient,RB JJ JJ NN,2.0
order beef noodle soup dish thai section menu nothing get be thai,VB NN JJ NN NN NN NN NN NN VB VB NN,0.0
be very disappointed,VB RB JJ,0.0
not go place again good meal,RB VB NN RB JJ NN,0.0
however think place be good hang spot,RB NN NN VB JJ NN NN,2.0
girlfriend stumble hop place other night have great time,NN VB VB NN JJ NN VB JJ NN,2.0
pizza wine be excellent service too really make place be backyard dine area,NN NN VB JJ NN RB RB VB NN VB NN VB NN,2.0
pizza wine be excellent service too really make place be backyard dine area,NN NN VB JJ NN RB RB VB NN VB NN VB NN,2.0
pizza wine be excellent service too really make place be backyard dine area,NN NN VB JJ NN RB RB VB NN VB NN VB NN,2.0
pizza wine be excellent service too really make place be backyard dine area,NN NN VB JJ NN RB RB VB NN VB NN VB NN,2.0
be nicest outdoor restaurant have ever see ny be italy place rival one country,VB JJ JJ NN VB RB VB NN VB NN NN NN NN NN,2.0
tell be go cover garden glass winter be look forward go there snowy night enjoy,VB VB VB VB NN NN NN VB VB RB VB RB JJ NN VB,2.0
check place out,NN NN RB,2.0
highly recommend,RB VB,2.0
first place be not romantic claim citysearch editorial review,JJ NN VB RB JJ VB NN NN NN,0.0
editor idea romance be share conversation next table try speak louder traffic,NN NN NN VB VB NN JJ NN VB VB RB NN,0.0
table be cram way too close menu be typical italian restaurant wine list be simply overpriced,NN VB VB NN RB RB NN VB JJ JJ NN NN NN VB RB JJ,0.0
table be cram way too close menu be typical italian restaurant wine list be simply overpriced,NN VB VB NN RB RB NN VB JJ JJ NN NN NN VB RB JJ,1.0
table be cram way too close menu be typical italian restaurant wine list be simply overpriced,NN VB VB NN RB RB NN VB JJ JJ NN NN NN VB RB JJ,0.0
slightly above average wine start only selection list,RB JJ JJ NN VB RB NN VB,0.0
slightly above average wine start only selection list,RB JJ JJ NN VB RB NN VB,0.0
service be not one expect joint price category,NN VB RB NN VB JJ NN NN,0.0
instance plate be just dump table be hand wine list upside etc,NN NN VB RB VB NN VB VB NN NN NN NN,0.0
somehow italian charm constant mille grazie do not constitute proper service,RB JJ NN JJ NN NN VB RB JJ JJ NN,0.0
be completely fair only redeeming factor be food be above average not make other deficiency teodora,VB RB JJ RB JJ NN VB NN VB JJ NN RB VB JJ NN NN,2.0
be completely fair only redeeming factor be food be above average not make other deficiency teodora,VB RB JJ RB JJ NN VB NN VB JJ NN RB VB JJ NN NN,0.0
not meal be edible bland make weird rosemary orange flavoring,RB NN VB JJ JJ VB JJ NN JJ NN,0.0
not meal be edible bland make weird rosemary orange flavoring,RB NN VB JJ JJ VB JJ NN JJ NN,0.0
fish be overdo,NN VB VB,0.0
cute place nice wait staff never go there again,JJ NN JJ NN NN RB VB RB RB,2.0
cute place nice wait staff never go there again,JJ NN JJ NN NN RB VB RB RB,2.0
cute place nice wait staff never go there again,JJ NN JJ NN NN RB VB RB RB,0.0
someone else recommend dessert also left,NN RB VB NN RB VB,0.0
actually like expresso be,RB VB NN VB,2.0
skip restaurant be big disappointment,NN NN VB JJ NN,0.0
myagi be favorite restaurant city place negative reviews describe sound be somewhere else,NN VB JJ NN NN NN JJ NN NN NN VB RB RB,2.0
ve never have bad service fish be fresh delicious,NN RB VB JJ NN NN VB JJ JJ,2.0
ve never have bad service fish be fresh delicious,NN RB VB JJ NN NN VB JJ JJ,2.0
tuna tartar appetizer be die,NN NN NN VB VB,2.0
come family pizzeria owner almost ashamed say pizza fornino blow family receipy away,VB NN NN NN RB JJ VB NN NN NN NN NN RB,2.0
be simply amazing,VB RB JJ,2.0
place be so cool service be prompt curtious,NN VB RB JJ NN VB JJ JJ,2.0
place be so cool service be prompt curtious,NN VB RB JJ NN VB JJ JJ,2.0
highly recommend anyone give place try,RB VB NN VB NN NN,2.0
find return quite often,VB VB RB RB,2.0
restaurant do not try do anything serve great food great service pleasant atmosphere,NN VB RB VB VB NN NN JJ NN JJ NN JJ NN,2.0
restaurant do not try do anything serve great food great service pleasant atmosphere,NN VB RB VB VB NN NN JJ NN JJ NN JJ NN,2.0
restaurant do not try do anything serve great food great service pleasant atmosphere,NN VB RB VB VB NN NN JJ NN JJ NN JJ NN,2.0
gimmick here food speak freshness preparation,NN RB NN VB NN NN,2.0
dining room be quietly elegant music shout refreshing,JJ NN VB RB JJ NN VB JJ,2.0
service be impeccable unobtrusive staff know be there do know menu present meal attend need,NN VB JJ JJ NN VB VB RB VB VB NN VB NN VB NN,2.0
service be impeccable unobtrusive staff know be there do know menu present meal attend need,NN VB JJ JJ NN VB VB RB VB VB NN VB NN VB NN,2.0
look see room full new yorker enjoy real meal real restaurant not clubhouse fabulous try be see,VB VB NN JJ JJ NN VB JJ NN JJ NN RB NN JJ VB VB VB,2.0
look see room full new yorker enjoy real meal real restaurant not clubhouse fabulous try be see,VB VB NN JJ JJ NN VB JJ NN JJ NN RB NN JJ VB VB VB,2.0
beautiful experience,JJ NN,2.0
view be breathtaking service be top notch ambiance be wonderfull,NN VB JJ NN VB JJ NN NN VB JJ,2.0
view be breathtaking service be top notch ambiance be wonderfull,NN VB JJ NN VB JJ NN NN VB JJ,2.0
view be breathtaking service be top notch ambiance be wonderfull,NN VB JJ NN VB JJ NN NN VB JJ,2.0
staff offer impeccable service,NN VB JJ NN,2.0
have lobster bisque have oz maine lobster,VB NN NN VB NN JJ NN,2.0
boyfriend have new england chowder be good think award go lobster bisque,NN VB JJ NN NN VB JJ VB NN VB NN NN,2.0
boyfriend have new england chowder be good think award go lobster bisque,NN VB JJ NN NN VB JJ VB NN VB NN NN,2.0
be divine melt mouth,VB JJ VB NN,2.0
boyfriend have prime rib be good,NN VB JJ NN VB JJ,2.0
do not want bottle bubbly weekday get little bottle korbett be just enough,VB RB VB NN JJ NN VB JJ NN NN VB RB RB,2.0
be so good need taste,VB RB JJ VB VB,2.0
be already come excuse go ahead really soon next few wk,VB RB VB NN VB RB RB RB JJ JJ NN,2.0
wife eat here earlier week have not stop ranting rave food,NN VB RB RB NN VB RB VB NN VB NN,2.0
like spicy food get chicken vindaloo,VB JJ NN VB NN NN,2.0
very spicy not offensive,RB JJ RB JJ,2.0
definitely go back,RB VB RB,2.0
go volare st class service terrific food,VB VB NN NN NN JJ NN,2.0
go volare st class service terrific food,VB VB NN NN NN JJ NN,2.0
portion be large server always surprise different starter,NN VB JJ NN RB VB JJ NN,2.0
wine list be excellent,NN NN VB JJ,2.0
food be amazing especially get chef taste menu favourite bottle wine extensive selection wine,NN VB JJ RB VB NN VB NN JJ NN NN JJ NN NN,2.0
food be amazing especially get chef taste menu favourite bottle wine extensive selection wine,NN VB JJ RB VB NN VB NN JJ NN NN JJ NN NN,2.0
food be amazing especially get chef taste menu favourite bottle wine extensive selection wine,NN VB JJ RB VB NN VB NN JJ NN NN JJ NN NN,2.0
place be small intimate feel little crowded service be excellent be great friend romantic date special occassion,NN VB JJ JJ VB JJ JJ NN VB JJ VB JJ NN JJ NN JJ NN,2.0
place be small intimate feel little crowded service be excellent be great friend romantic date special occassion,NN VB JJ JJ VB JJ JJ NN VB JJ VB JJ NN JJ NN JJ NN,0.0
place be small intimate feel little crowded service be excellent be great friend romantic date special occassion,NN VB JJ JJ VB JJ JJ NN VB JJ VB JJ NN JJ NN JJ NN,2.0
food get pricey prixe fixe taste menu be greatest food good price cater food food allergy food do not like,NN VB JJ NN NN VB NN VB JJ NN JJ NN VB NN NN NN NN VB RB VB,0.0
food get pricey prixe fixe taste menu be greatest food good price cater food food allergy food do not like,NN VB JJ NN NN VB NN VB JJ NN JJ NN VB NN NN NN NN VB RB VB,2.0
food get pricey prixe fixe taste menu be greatest food good price cater food food allergy food do not like,NN VB JJ NN NN VB NN VB JJ NN JJ NN VB NN NN NN NN VB RB VB,2.0
food get pricey prixe fixe taste menu be greatest food good price cater food food allergy food do not like,NN VB JJ NN NN VB NN VB JJ NN JJ NN VB NN NN NN NN VB RB VB,2.0
be aware be cash amex only,VB JJ VB NN RB RB,1.0
exception lemon salad have so much pepper eye start food here be decent not great,NN NN NN VB RB JJ NN NN VB NN RB VB JJ RB JJ,1.0
exception lemon salad have so much pepper eye start food here be decent not great,NN NN NN VB RB JJ NN NN VB NN RB VB JJ RB JJ,0.0
menu be very limit think count entree,NN VB RB VB VB VB VB,0.0
order special grilled branzino be so infuse bone be difficult eat,VB JJ JJ NN VB RB VB NN VB JJ VB,0.0
decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,1.0
problem be nothing prune be particularly memorable,NN VB NN NN VB RB JJ,0.0
plan return anytime soon,NN VB RB RB,0.0
place be so much fun,NN VB RB JJ NN,2.0
family never expect such incredible entertainment restaurant,NN RB VB JJ JJ NN NN,2.0
food be great too,NN VB JJ RB,2.0
really large portion,RB JJ NN,2.0
staff be friendliest have see new york,NN VB NN VB VB NN NN,2.0
go back time be city,VB RB NN VB NN,2.0
want something really different try jekyll hyde,VB NN RB JJ NN NN NN,2.0
be lot fun live entertainment kind disney type special effect,VB NN NN JJ NN NN NN NN JJ NN,2.0
food be pretty tradional be hot good large portion,NN VB JJ NN VB JJ JJ JJ NN,2.0
food be pretty tradional be hot good large portion,NN VB JJ NN VB JJ JJ JJ NN,2.0
highly recommend,RB VB,2.0
place be lot fun,NN VB NN NN,2.0
year old love,NN JJ VB,2.0
character really make enjoyable experience,NN RB VB JJ NN,2.0
food however be one expect,NN RB VB NN VB,0.0
be very overpriced not very tasty,VB RB JJ RB RB JJ,0.0
be very overpriced not very tasty,VB RB JJ RB RB JJ,0.0
however think jeckll hyde be place be fun do once,RB NN NN VB VB NN VB NN VB RB,2.0
have good time,VB JJ NN,2.0
go there wife have wait table even see there many be empty not reservation sigh,VB RB NN VB VB NN RB VB RB JJ VB JJ RB NN NN,0.0
service be slow have wait order get food not crowd,NN VB JJ VB VB NN VB NN RB VB,0.0
drink way over price,NN NN VB VB,0.0
food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,1.0
food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,0.0
great pizza lunch place,JJ NN NN NN,2.0
service be quick,NN VB JJ,2.0
pizza be great,NN VB JJ,2.0
be quick be very important,VB JJ VB RB JJ,2.0
be wonderful,VB JJ,2.0
need sushi fix mizu be there quality fish great service,VB NN NN NN VB RB NN NN JJ NN,2.0
need sushi fix mizu be there quality fish great service,VB NN NN NN VB RB NN NN JJ NN,2.0
delivery be fast too,NN VB JJ RB,2.0
great friendly service fast seating fast delivery excellent sushi,JJ JJ NN JJ NN JJ NN JJ NN,2.0
great friendly service fast seating fast delivery excellent sushi,JJ JJ NN JJ NN JJ NN JJ NN,2.0
great friendly service fast seating fast delivery excellent sushi,JJ JJ NN JJ NN JJ NN JJ NN,2.0
great friendly service fast seating fast delivery excellent sushi,JJ JJ NN JJ NN JJ NN JJ NN,2.0
little overpriced worth once take bite,JJ JJ JJ RB VB NN,0.0
little overpriced worth once take bite,JJ JJ JJ RB VB NN,2.0
ess bagel sty town midtown be far best bagel ny,RB NN JJ NN VB VB RB JJ NN NN,2.0
bagel always warm soft inside crispy outside enormous size,NN RB JJ JJ JJ JJ JJ JJ NN,2.0
bagel always warm soft inside crispy outside enormous size,NN RB JJ JJ JJ JJ JJ JJ NN,2.0
have huge selection different cream cheese salad be great,VB JJ NN JJ NN NN NN VB JJ,2.0
have huge selection different cream cheese salad be great,VB JJ NN JJ NN NN NN VB JJ,2.0
lox be always fresh too,NN VB RB JJ RB,2.0
highly recommend,RB VB,2.0
not impress food,RB VB NN,0.0
price too high cramped unappeal resturant,NN RB JJ JJ VB JJ,0.0
price too high cramped unappeal resturant,NN RB JJ JJ VB JJ,0.0
ambiance boot,NN NN,0.0
think place be totally overrate,VB NN VB RB VB,0.0
everything have be good definitely nothing great,NN VB VB JJ RB NN JJ,1.0
ambience be nice service be not so great,NN VB JJ NN VB RB RB JJ,2.0
ambience be nice service be not so great,NN VB JJ NN VB RB RB JJ,0.0
add together just do not seem especially consider price,VB RB RB VB RB VB RB VB NN,0.0
add together just do not seem especially consider price,VB RB RB VB RB VB RB VB NN,0.0
be best shabu shabu restaurant try state area,VB JJ NN NN NN JJ NN NN,2.0
have live japan year taste food feel restaurant be be back japan,VB VB NN NN NN NN NN NN VB VB RB NN,2.0
have live japan year taste food feel restaurant be be back japan,VB VB NN NN NN NN NN NN VB VB RB NN,2.0
thius be anyone love shabu shabu,NN VB NN VB NN NN,2.0
atmosphere be nothing special feel sushi establishment tokyo,NN VB NN JJ VB NN NN NN,2.0
owner staff be japanese as well add entire ambiance,NN NN VB RB RB RB VB JJ NN,2.0
owner staff be japanese as well add entire ambiance,NN NN VB RB RB RB VB JJ NN,2.0
owner staff be japanese as well add entire ambiance,NN NN VB RB RB RB VB JJ NN,2.0
slightly limited menu everything prepare be do perfection ultra fresh work food art,RB JJ NN NN VB VB VB NN JJ JJ NN NN NN,0.0
slightly limited menu everything prepare be do perfection ultra fresh work food art,RB JJ NN NN VB VB VB NN JJ JJ NN NN NN,2.0
slightly limited menu everything prepare be do perfection ultra fresh work food art,RB JJ NN NN VB VB VB NN JJ JJ NN NN NN,2.0
give yon yon star,VB RB RB VB,2.0
taxan delicious,NN JJ,2.0
weren,VB,2.0
price be cheap compare quality service food,NN VB RB VB NN NN NN,2.0
price be cheap compare quality service food,NN VB RB VB NN NN NN,2.0
price be cheap compare quality service food,NN VB RB VB NN NN NN,2.0
like so much always make point dine here visit new york,VB RB JJ RB VB NN VB RB VB NN NN,2.0
location ambience be food be make,NN NN VB NN VB VB,1.0
location ambience be food be make,NN NN VB NN VB VB,1.0
location ambience be food be make,NN NN VB NN VB VB,2.0
be lot variety even person eat vegetarian,VB NN NN RB NN VB JJ,2.0
try green curry vegetable,VB NN VB NN,2.0
quantity be also very good come out satisfy,NN VB RB RB JJ VB RB VB,2.0
service be person do not get ask,NN VB NN VB RB VB VB,1.0
be there sat birthday have excellent time,VB RB NN NN VB JJ NN,2.0
have best ravioli ever,VB JJ NN RB,2.0
wine service be very good too,NN NN VB RB JJ RB,2.0
wine service be very good too,NN NN VB RB JJ RB,2.0
moderate price,JJ NN,1.0
little noise think be party,JJ NN VB VB NN,1.0
quaint romantic trattoria be top manhattan restaurant list,JJ JJ NN VB NN JJ NN NN,2.0
quaint romantic trattoria be top manhattan restaurant list,JJ JJ NN VB NN JJ NN NN,2.0
